Post,Similarity Measure,Related Posts
how can one can aim for a career in machine learning?,0.41807359418887935,data science   machine learning resources 
how can one can aim for a career in machine learning?,0.0,data science podcasts 
how can one can aim for a career in machine learning?,0.0,how to self learn data science 
free/open interactive softwares/plugins for end-users' high-dimensional data visualization,0.1783864506189056,high dimensional data  what are useful techniques to know 
free/open interactive softwares/plugins for end-users' high-dimensional data visualization,0.043705067737887654,how to visualize data of a multidimensional dataset  timit 
free/open interactive softwares/plugins for end-users' high-dimensional data visualization,0.20525487084793326,purpose of visualizing high dimensional data 
gradient boosted trees or neural networks using model averaging?,0.0,quick guide into training highly imbalanced data sets
gradient boosted trees or neural networks using model averaging?,0.0,how to learn a classifier from a dataset with high imbalance
gradient boosted trees or neural networks using model averaging?,0.0,understanding rocs in imbalanced data sets
classification technique for unsupervised data?,0.11825395364354807,can i use unsupervised learning followed by supervised learning 
classification technique for unsupervised data?,0.20273527281081724,clustering categorical data
how do you define the steps to explore the data?,0.20273527281081724,machine learning steps
how do you define the steps to explore the data?,0.17209173244903964,measuring value in data science 
what is the difference between the training and testdata set?,0.0,can we use stop words while using multinomial navies theorem 
what is the difference between the training and testdata set?,0.21516051414578763,does the training set of one topic will be useful to predicate the sentiment for any other topic 
clustering users based on buying behaviour,0.09140671679274509,is it necessary to standardize your data before clustering 
clustering users based on buying behaviour,0.10914376730832853,boundary conditions for clustering
should i use regularization every time?,0.0,how to detect overfitting of a stock screener
should i use regularization every time?,0.0,why are precision and recall used in the f1 score  rather than precision and npv 
clustering categorical data,0.5780707726672405,k means clustering for mixed numeric and categorical data
clustering categorical data,0.15534797592472302,clusering based on categorical variables 
data science / machine learning books for mathematicians,0.5453781442764771,books about the  science  in data science 
data science / machine learning books for mathematicians,0.14149946718519407,where to start  which books
multiple output classes in keras,0.0,activation method and loss function for multilabel multiclass classification
multiple output classes in keras,0.0,why should softmax be used in cnn
anomaly detection for transaction data,0.11769814497099905,how to classify and cluster this time series data
anomaly detection for transaction data,0.440507293524788,anomaly detection in time series data   help required
"gradient boosting tree: ""the more variable the better""?",0.0,why k fold cross validation  cv  overfits  or why discrepancy occurs between cv and test set 
how to implement patternet in python as it is in matlab?,0.0,is it possible to customize the activation function in scikit learn s mlpclassifier 
how to implement patternet in python as it is in matlab?,0.0,does mlpclassifier  sklearn  support different activations for different layers 
number of parameters in seq2seq model,0.3549151836521609,number of parameters in an rnn
number of parameters in seq2seq model,0.5606431578020992,number of parameters in an lstm model
pros and cons of pandas or r for longitudinal data?,0.07940071303178649,tools and protocol for reproducible data science using python
pros and cons of pandas or r for longitudinal data?,0.4928283406444166,pros and cons of python and r for data science
word2vec alternative for smaller datasets,0.10513034715392536,how much training data does word2vec need 
word2vec alternative for smaller datasets,0.10513034715392536,applying word2vec on small text files
word2vec alternative for smaller datasets,0.0,doc2vec   how to label the paragraphs  gensim 
cluster documents and identify the prominent document in the cluster?,0.3223768055998519,cluster documents based on topic similarity
how to perform logistic regression with a large number of features?,0.08895785936744408,does scikit learn have forward selection stepwise regression algorithm 
how to perform logistic regression with a large number of features?,0.0,keras  how to normalize dataframe with continuous and categorical data 
what pre processing should i use on data to feed into a cnn?,0.0,should the output of regression models  like svr  be normalized 
what pre processing should i use on data to feed into a cnn?,0.0,what is normalization for 
does nearest neighbour make any sense with t-sne?,0.051650622588263244,can closer points be considered more similar in t sne visualization 
does nearest neighbour make any sense with t-sne?,0.07867591016976437,are t sne dimensions meaningful 
does nearest neighbour make any sense with t-sne?,0.051650622588263244,t sne  why equal data values are visually not close 
rnn time-series predictions with multiple features containing non-numeric features and numeric features?,0.09796750732493692,time series prediction using arima vs lstm
rnn time-series predictions with multiple features containing non-numeric features and numeric features?,0.5379552671252834,rnn s with multiple features
rnn time-series predictions with multiple features containing non-numeric features and numeric features?,0.2912705467844541,adding features to time series model lstm
what is hellinger distance and when to use it?,0.0,combine two sets of clusters
what is hellinger distance and when to use it?,0.0,clustering with cosine similarity
why relu is better than the other activation functions,0.09140671679274509,what is the  dying relu  problem in neural networks 
why relu is better than the other activation functions,0.09140671679274509,sigmoid vs relu function in convnets
sentence similarity prediction,0.15087147842450896,text similarity using rnn
sentence similarity prediction,0.0,text processing
sentence similarity prediction,0.11291778112623913,doc2vec to calculate cosine similarity   absolutely inaccurate
does gradient descent always converge to an optimum?,0.14289815615742452,does mlp always find local minimum
does gradient descent always converge to an optimum?,0.0,how to plot cost versus number of iterations in scikit learn 
classifying with certainty,0.0,neural networks  which cost function to use 
input normalization for relu?,0.14134470894205978,when to use  he or glorot  normal initialization over uniform init  and what are its effects with batch normalization 
input normalization for relu?,0.0,why large weights are prohibited in neural networks 
input normalization for relu?,0.21808384969719055,why relu is better than the other activation functions
rprop is too noisy,0.0,strange behavior with adam optimizer when training for too long
meaning of perceptron optimal weights,0.0,does mlp always find local minimum
meaning of perceptron optimal weights,0.0,does gradient descent always converge to an optimum 
evaluating new features,0.1683433379422632,in supervised learning  why is it bad to have correlated features 
evaluating new features,0.0,correlation between specific columns of a data set
why is relu used as an activation function?,0.09776790336663375,what is the  dying relu  problem in neural networks 
why is relu used as an activation function?,0.3167594768303375,why relu is better than the other activation functions
what should be the main concerns when generating extra data?,0.0,what are the best way to handle missing values
what should be the main concerns when generating extra data?,0.09819339775077543,what does it mean for the training data to be generated by a probability distribution over datasets
how to set the number of neurons and layers in neural networks,0.29920257257345845,why do convolutional neural networks work 
how to set the number of neurons and layers in neural networks,0.07811501532714528,is it a red flag that increasing the number of parameters makes the model less able to overfit small amounts of data 
neural network performs bad on mnist,0.085376984254077,why do convolutional neural networks work 
neural network performs bad on mnist,0.28335346431231323,neural network  backpropagation works on mnist  but training test set accuracy very low
neural network performs bad on mnist,0.06834870670798136,how to set the number of neurons and layers in neural networks
building a citation network to analyze in r,0.0,use cases for graph algorithms and graph data structures in finance and banking
building a citation network to analyze in r,0.16163635792525347,echo effect metric network
should the different layers of deep learning models have same size or they should be changed based on a rule,0.0,why do convolutional neural networks work 
should the different layers of deep learning models have same size or they should be changed based on a rule,0.09075188488517474,how to set the number of neurons and layers in neural networks
clustering combining numeric features and weekday & hour cyclic features,0.0791273457314398,what is a good way to transform cyclic ordinal attributes 
clustering combining numeric features and weekday & hour cyclic features,0.0,ways to deal with longitude latitude feature
tensorflow: number of channels of conv1d filter,0.14289815615742452,example of 1d convnet filter
tensorflow: number of channels of conv1d filter,0.0,what is the shape of conv3d and conv3d transpose 
sliding window leads to overfitting in lstm?,0.14289815615742452,number of parameters in an lstm model
sliding window leads to overfitting in lstm?,0.0,synthetic gradients   what s the practical benefit 
how to classify movement data (time series) in real time,0.0,how to train model to predict events 30 minutes prior  from multi dimensionnal timeseries
how to classify movement data (time series) in real time,0.4179779031144455,using time series data from a sensor for ml
weight decay in neural network,0.15747057839937878,speed decay proof for l2 regularization and non normalizied weight initiation
weight decay in neural network,0.2346777118683718,heuristic argument for weight decay and regularization
choosing input variables for linear regression for higher accuracy,0.11287475294534868,cleaning input data with pd get dummies  
choosing input variables for linear regression for higher accuracy,0.2369213187062372,choosing a model for dataset with categorical variables
using a pre trained cnn classifier and apply it on a different image dataset,0.0,how to train model to predict events 30 minutes prior  from multi dimensionnal timeseries
using a pre trained cnn classifier and apply it on a different image dataset,0.08361225522805263,using time series data from a sensor for ml
polynomial regression vs. multilayer perceptron,0.0,how to apply my deep learning model to a new dataset 
polynomial regression vs. multilayer perceptron,0.0,is there any proven disadvantage of transfer learning for cnns 
how to use correct weights in linear regression model,0.08242043522817004,purpose of weights in neural networks
how to use correct weights in linear regression model,0.08242043522817004,finding optimal weights for models
re: logistic regression,0.0,smote and multi class oversampling
re: logistic regression,0.0,best methods to solve class imbalance problem and why 
re: logistic regression,0.0,how to fix class imbalance in training sample 
multivariate time-series clustering,0.21335789612691686,how to deal with time series which change in seasonality or other patterns 
multivariate time-series clustering,0.3376249130723552,similarity measure for multivariate time series with heterogeous length and content
the connection between optimization and generalization,0.0,why large weights are prohibited in neural networks 
the connection between optimization and generalization,0.0,does gradient descent always converge to an optimum 
are cnns insensitive to rotations and shifts in images?,0.0,why do convolutional neural networks work 
are cnns insensitive to rotations and shifts in images?,0.0,what is the state of the art ann architecture for mnist 
how to plot learning curve and validation curve while using pipeline,0.0,how to set class weights for imbalanced classes in keras 
how to plot learning curve and validation curve while using pipeline,0.0,what is the difference between model hyperparameters and model parameters 
how to plot learning curve and validation curve while using pipeline,0.0,evaluation methods for multi class classification
"how does ""linear algebraic"" weight training function work?",0.0,how to set the number of neurons and layers in neural networks
"how does ""linear algebraic"" weight training function work?",0.0,finding optimal weights for models
alternatives to logistic regression,0.0,interpreting decision tree in context of feature importances
alternatives to logistic regression,0.0,correlation between specific columns of a data set
alternatives to logistic regression,0.0,is pca considered a machine learning algorithm
video classification of birds,0.0,data augmentation  rotating images and zero values
video classification of birds,0.0,outlier detection with non normal distribution
what should be the ratio of true vs false cases in a binary classifier dataset?,0.0,k means clustering for mixed numeric and categorical data
what should be the ratio of true vs false cases in a binary classifier dataset?,0.0,accuracy and loss don t change in cnn  is it over fitting 
the goal of fine tuning,0.0,using a pre trained cnn classifier and apply it on a different image dataset
the goal of fine tuning,0.0,is there any proven disadvantage of transfer learning for cnns 
what are the cases where it is fine to initialize all weights to zero,0.0,how to  deep neural network weight initialization
what are the cases where it is fine to initialize all weights to zero,0.0,when to use  he or glorot  normal initialization over uniform init  and what are its effects with batch normalization 
what are the cases where it is fine to initialize all weights to zero,0.0,how should the bias be initialized and regularized 
what are the cases where it is fine to initialize all weights to zero,0.0,does mlp always find local minimum
what are the cases where it is fine to initialize all weights to zero,0.0,does gradient descent always converge to an optimum 
which supervised learning algorithm to classify customers buying items,0.14628572862076258,is there any standard pattern recognition algorithm in predicting an item which a user will be buying next  given i have the history of the purchases
which supervised learning algorithm to classify customers buying items,0.0,how to predict customer s next purchase
how to understand backpropagation using derivative,0.14051231115056986,role derivative of sigmoid function in neural networks
how to understand backpropagation using derivative,0.0,xor problem with neural network  cost function
"given a query image q and two other images x and y, how to determine which one is most similar to q?",0.2992025725734585,neural networks   find most similar images
"given a query image q and two other images x and y, how to determine which one is most similar to q?",0.14051231115056986,compare image similarity in python
could someone explain to me how back-prop is done for the generator in a gan?,0.0,back propagation in cnn
could someone explain to me how back-prop is done for the generator in a gan?,0.0,role derivative of sigmoid function in neural networks
multi class + negative class image classification strategies,0.35134050641970416,one class discriminatory classification with imbalanced  heterogenous negative background 
multi class + negative class image classification strategies,0.0624260703822199,fine tuning a cnn for recognizing two classes  but also being able to tell if none of them is present in an image
multi class + negative class image classification strategies,0.6549082380645327, other  class in image classification
more layers in nn give worse result,0.0,why do convolutional neural networks work 
more layers in nn give worse result,0.14051231115056986,how to set the number of neurons and layers in neural networks
rnns for time series prediction - what configurations would make sense,0.0,how to set the number of neurons and layers in neural networks
rnns for time series prediction - what configurations would make sense,0.0,gradientchecking  can i blame float precision 
matching similar strings,0.0,sliding window leads to overfitting in lstm 
matching similar strings,0.0,lstm querying approach
1d time series to time series approximation using deep learning,0.09715449999519336,example of 1d convnet filter
1d time series to time series approximation using deep learning,0.0,how to implement  one to many  and  many to many  sequence prediction in keras 
1d time series to time series approximation using deep learning,0.0,tensorflow  number of channels of conv1d filter
training with multi-series of different length with stateful lstm,0.25611233066192673,batch size of stateful lstm in keras
training with multi-series of different length with stateful lstm,0.0,mini batch size and reset states
properly using activation functions of neural network,0.0,does mlp always find local minimum
properly using activation functions of neural network,0.09278545948787295,can the linearly non separable data be learned using polynomial features with logistic regression 
properly using activation functions of neural network,0.09809642485043403,why large weights are prohibited in neural networks 
properly using activation functions of neural network,0.08795369670197191,how to set the number of neurons and layers in neural networks
xgboost: quantifying feature importances,0.1204220581992379,how to interpret the output of xgboost importance 
xgboost: quantifying feature importances,0.5080146464112385,xgboost   how to use feature importances  with xgbregressor   
validation data for multi-series stateful lstm,0.0,how to predict the future values of time horizon with keras 
validation data for multi-series stateful lstm,0.224324998974933,stateful lstm   using different training window
what are the benefits and tradeoffs of a 1d conv vs a multi-input seq2seq lstm model?,0.19484718637298198,keras lstm with 1d time series
what are the benefits and tradeoffs of a 1d conv vs a multi-input seq2seq lstm model?,0.12317332747420244,multi dimentional and multivariate time series forecast  rnn lstm  keras
rather use many linear classifiers than one complex one for numerical data?,0.04735461700666599,is it possible to implement a classifier according to quarters  what about missing data 
rather use many linear classifiers than one complex one for numerical data?,0.0412346921663708,how to classify movement data  time series  in real time
rather use many linear classifiers than one complex one for numerical data?,0.03894773531551687,how to make machine learning specifically for an individual in a group when we have the data on the group 
backpropagation - simplest explanation,0.1236428954630578,backpropagation with multiple different activation functions
backpropagation - simplest explanation,0.21908570814123854,compute backpropagation
backpropagation - simplest explanation,0.0,back propagation in cnn
backpropagation - simplest explanation,0.0,gradient descent and partial derivatives
backpropagation - simplest explanation,0.0,a good reference for the back propagation algorithm 
backpropagation - simplest explanation,0.0,role derivative of sigmoid function in neural networks
backpropagation - simplest explanation,0.1472332547808446,how to understand backpropagation using derivative
"detect multicollinearity in real-life, non-normally distributed data",0.0,how to get correlation between two categorical variable and a categorical variable and continuous variable 
"detect multicollinearity in real-life, non-normally distributed data",0.11106947501307195,does xgboost handle multicollinearity by itself 
neural network example not working with sigmoid activation function,0.19218399986821844,creating neural net for xor function
neural network example not working with sigmoid activation function,0.07829579184792197,what is coadaptation of neurons in neural networks 
learning rate of perception,0.0,normalizing the final weights vector in the upper bound on the perceptron s convergence
learning rate of perception,0.15250987668359506,do adaptive learning optimizers follow the steepest decent 
how far can one go with excel?,0.1755513602827491,do data scientists use excel 
how far can one go with excel?,0.1755513602827491,is excel sufficient for data science 
lstm for time series - which window size to use,0.27318606182531335,sliding window leads to overfitting in lstm 
lstm for time series - which window size to use,0.22447116508421402,rnns for time series prediction   what configurations would make sense
lstm train on varying length sequences,0.0,training an rnn with examples of different lengths in keras
lstm train on varying length sequences,0.11903671582655294,how to feed lstm with different input array sizes 
"in supervised learning, how to get info from correlation?",0.05867417039291057,how to get correlation between two categorical variable and a categorical variable and continuous variable 
"in supervised learning, how to get info from correlation?",0.085874241970855,dissmissing features based on correlation with target variable
log loss vs accuracy for deciding between different learning rates?,0.0,does gradient descent always converge to an optimum 
log loss vs accuracy for deciding between different learning rates?,0.3459529983056757,what is the relationship between the accuracy and the loss in deep learning 
how to deal with missing data for bernoulli naive bayes?,0.34107405006392233,how does the naive bayes classifier handle missing data in training 
how to deal with missing data for bernoulli naive bayes?,0.18358437572611438,scikit learn missing data   categorical values
how to deal with missing data for bernoulli naive bayes?,0.23114078234521027,naive bayes should generate prediction given missing features  scikit learn 
is there any way how to make samples balanced?,0.0,binary classification of every time series step based on past and future values
is there any way how to make samples balanced?,0.0,exceptionally high accuracy with random forest  is it possible 
what is the purpose of a 1x1 convolutional layer?,0.2734732253510744,how are 1x1 convolutions the same as a fully connected layer 
what is the purpose of a 1x1 convolutional layer?,0.09776790336663375,1x1 convolution  how does the math work 
correlation between nominal categorical variables,0.0,keras lstm with 1d time series
correlation between nominal categorical variables,0.0,multi dimentional and multivariate time series forecast  rnn lstm  keras
using lstm's on multivariate input and multivariate output,0.0834738297192526,keras lstm with 1d time series
using lstm's on multivariate input and multivariate output,0.24513187051277466,multi dimentional and multivariate time series forecast  rnn lstm  keras
merging dataframes in pandas is taking a surprisingly long time,0.0,how to get correlation between two categorical variable and a categorical variable and continuous variable 
merging dataframes in pandas is taking a surprisingly long time,0.0,what measures can i use to find correlation between categorical features and binary label 
deep network not able to learn imbalanced data beyond the dominant class,0.0,multivariate time series forecasting using lstm
deep network not able to learn imbalanced data beyond the dominant class,0.0,multivariate  multistep forecasting with lstm
anomaly detection without any knowledge about structure,0.0,how to set class weights for imbalanced classes in keras 
anomaly detection without any knowledge about structure,0.0,multi class neural net always predicting 1 class after optimization
train a model for unstructured data,0.0,clusering based on categorical variables 
train a model for unstructured data,0.12322702993422656,best approach for this unsupervised clustering problem with categorical data 
over fitting in transfer learning with small dataset,0.0,how to set batch size  steps per epoch and validation steps
over fitting in transfer learning with small dataset,0.0,what to set in steps per epoch in keras  fit generator 
why can decision trees have a high amount of variance,0.14289815615742452,are decision tree algorithms linear or nonlinear
why can decision trees have a high amount of variance,0.0,why do we pick random features in random forest
why use variational autoencoders vae instead of autoencoders ae in anomaly detection?,0.04787042817378684,transform an autoencoder to a variational autoencoder 
why use variational autoencoders vae instead of autoencoders ae in anomaly detection?,0.13257778062891662,variational auto encoders  vae   why the random sample 
why real-world output of my classifier has similar label ratio to training data?,0.07209719771534716,train classifier on balanced dataset and apply on imbalanced dataset 
why real-world output of my classifier has similar label ratio to training data?,0.0,intercept correction in deep learning
why real-world output of my classifier has similar label ratio to training data?,0.0,cost sensitive classification with individual cost
how to design batches in a stateful rnn,0.0,how to feed lstm with different input array sizes 
how to design batches in a stateful rnn,0.0,padding sequences for neural sequence models  rnns 
best way to classify plots which are overlapping?,0.0,number of parameters in an lstm model
best way to classify plots which are overlapping?,0.08092845173068015,what is the best method for classification of time series data  should i use lstm or a different method 
activation functions in cnn,0.14378940148007588,why is relu used as an activation function 
activation functions in cnn,0.09700221704212074,why do we need activation function  like relu  after an affine layer 
how to prevent model from recognizing false classes,0.2040058566032728,fine tuning a cnn for recognizing two classes  but also being able to tell if none of them is present in an image
how to prevent model from recognizing false classes,0.0,multi class   negative class image classification strategies
how are q-value and state value different in reinforcement learning,0.23211804319157203,what is the q function and what is the v function in reinforcement learning 
how are q-value and state value different in reinforcement learning,0.0,rl advantage function why a   q v instead of a v q 
a model that only works by setting all initial weights to zero,0.21335789612691686,initialize perceptron weights with zero
a model that only works by setting all initial weights to zero,0.1778379657479138,what are the cases where it is fine to initialize all weights to zero
should input images be normalized to -1 to 1 or 0 to 1,0.15250987668359506,data preprocessing  should we normalise images pixel wise 
should input images be normalized to -1 to 1 or 0 to 1,0.0,image normalisation methods
2019 - bleeding edge reinforcement learning techniques?,0.0,prioritized replay  what does importance sampling really do 
2019 - bleeding edge reinforcement learning techniques?,0.0,hindsight experience replay  how to define a partially known end goal
2019 - bleeding edge reinforcement learning techniques?,0.0,neural network   distinguishing between several normalized values is impossible 
2019 - bleeding edge reinforcement learning techniques?,0.0,how does implicit quantile regression network  iqn  differ from qr dqn 
2019 - bleeding edge reinforcement learning techniques?,0.0,rl invertible value function approach   why it prevents rewards from exploding 
2019 - bleeding edge reinforcement learning techniques?,0.0,dueling network gradient with respect to advantage stream
randomforest surprisingly high accuracy,0.0,how to quantify the performance of the classifier  multi class svm  using the test data 
randomforest surprisingly high accuracy,0.0,why can t i choose my hyper parameter in the training set 
doc2vec for multi class classification,0.11141303512649212,doc2vec   how to label the paragraphs  gensim 
doc2vec for multi class classification,0.085874241970855,in doc2vec  how to model correctly when many documents share the same label 
what is the value of x in knn and why?,0.1755513602827491,how does weighted knn work 
what is the value of x in knn and why?,0.21635451887141952,logic behind weighted knn
at what value of accuracy of train and test we can say model is overfitting and underfitting?,0.25181981413281307,validation training accuracy and overfitting
at what value of accuracy of train and test we can say model is overfitting and underfitting?,0.12061526113065313,validation vs  test vs  training accuracy  which one should i compare for claiming overfit 
can machine learning learn a function like finding maximum from a list?,0.0,sort numbers using only 2 hidden layers
can machine learning learn a function like finding maximum from a list?,0.0,how to sort numbers using convolutional neural network 
error loading tidyverse in r studio - no broom package,0.2686537483534641,having trouble installing and loading tidyverse  no dib package
error loading tidyverse in r studio - no broom package,0.2589371001191634,how can i run tidyverse package 
some suggestion for career in data science or predictive modeling,0.16596966114199257,starting my career as data scientist  is software engineering experience required 
some suggestion for career in data science or predictive modeling,0.3284987102599716,statistics   computer science   data science 
how to classify and cluster this time series data,0.10871320342982171,human activity recognition using smartphone data set problem
how to classify and cluster this time series data,0.26357907964678273,how to deal with time series which change in seasonality or other patterns 
business exception reporting,0.0,tools and protocol for reproducible data science using python
business exception reporting,0.0,what do you use to generate a dashboard in r 
business exception reporting,0.0,what initial steps should i use to make sense of large data sets  and what tools should i use 
business exception reporting,0.0,interactive graphing while logging data
web framework built for recommendations,0.0,organized processes to clean data
web framework built for recommendations,0.0,recommending movies with additional features using collaborative filtering
high-dimensional data: what are useful techniques to know?,0.08980212447509651,solving a system of equations with sparse data
high-dimensional data: what are useful techniques to know?,0.3341658182121005,nearest neighbors search for very high dimensional data
rank players of any given sport,0.0,can machine learning algorithms predict sports scores or plays 
rank players of any given sport,0.0,predictive modeling based on rfm scoring indicators
graph layout for a network of molecules,0.18322340813325647,visualizing a graph with a million vertices
graph layout for a network of molecules,0.15967058203849993,visualizing deep neural network training
where can i find resources and papers regarding data science in the area of public health,0.039071612682555754,starting my career as data scientist  is software engineering experience required 
where can i find resources and papers regarding data science in the area of public health,0.11035512494427202,tools and protocol for reproducible data science using python
where can i find resources and papers regarding data science in the area of public health,0.16066115348921314,data science project ideas
possibility of working on kddcup data in local system,0.10513034715392536,is the r language suitable for big data
possibility of working on kddcup data in local system,0.0,r random forest on amazon ec2 error  cannot allocate vector of size 5 4 gb
possibility of working on kddcup data in local system,0.09243758146611247,vm image for data science projects
how can i use data science to profoundly contribute to humanity?,0.1919463914373556,data science project ideas
how can i use data science to profoundly contribute to humanity?,0.06090248902746921,working as data scientist for a nonprofit company
how can i use data science to profoundly contribute to humanity?,0.13184436654187043,learning resources for data science to win political campaigns 
finding user similarities within informal data sets,0.10368555708160042,dataset for named entity recognition on informal text
finding user similarities within informal data sets,0.0,help regarding ner in nltk
master degree in data science,0.24827270964837594,is data science the same as data mining 
master degree in data science,0.1028621641723248,is data science just a trend or is a long term concept 
master degree in data science,0.13577890669632486,data science ph d  program  what do you think 
master degree in data science,0.26777109804727955,books about the  science  in data science 
master degree in data science,0.16522570257780891,what do you think of data science certifications 
master degree in data science,0.0364482126019548,starting my career as data scientist  is software engineering experience required 
master degree in data science,0.21909837531967433,statistics   computer science   data science 
master degree in data science,0.04858909531966727,career switch to big data analytics
using attributes to classify/cluster user profiles,0.0,need help with lda for selecting features
using attributes to classify/cluster user profiles,0.0,clustering users based on buying behaviour
how can an undergraduate learn more about deep learning?,0.32600382561437724,deep learning basics
how can an undergraduate learn more about deep learning?,0.2586152916157728,route to picking up deep learning
what is a good non cryptographic hash for string feature translation?,0.0,how can i transform names in a confidential data set to make it anonymous  but preserve some of the characteristics of the names 
what is a good non cryptographic hash for string feature translation?,0.11060843480290322,neural network parse string data 
denoising autoenoders with variable length input,0.12496742408469774,how to use neural networks with large and variable number of inputs 
denoising autoenoders with variable length input,0.28819152812906945,training neural networks with unknown length of input
"how to start analysing and modelling data for an academic project, when not a statistician or data scientist",0.0,first steps on a new cleaned dataset
"how to start analysing and modelling data for an academic project, when not a statistician or data scientist",0.11296474633409798,tools and protocol for reproducible data science using python
"how to start analysing and modelling data for an academic project, when not a statistician or data scientist",0.0849921338319187,what initial steps should i use to make sense of large data sets  and what tools should i use 
credit card fraud detection - anomaly detection based on amount of money to be withdrawn?,0.0,machine learning   features engineering from date time data
credit card fraud detection - anomaly detection based on amount of money to be withdrawn?,0.0,classifying transactions as malicious
predictive analysis of rare events,0.0,what are the implications for training a tree ensemble with highly biased datasets 
predictive analysis of rare events,0.0,skewed multi class data
predictive analysis of rare events,0.0,should i go for a  balanced  dataset or a  representative  dataset 
predictive analysis of rare events,0.0,quick guide into training highly imbalanced data sets
predictive analysis of rare events,0.0,ratio of positive to negative sample in data set for best classification
how does strided deconvolution works?,0.0,what are deconvolutional layers 
how does strided deconvolution works?,0.1192129252971507,what is deconvolution operation used in fully convolutional neural networks 
how can one can aim for a career in machine learning?,0.0,data science conferences 
how can one can aim for a career in machine learning?,0.41807359418887935,data science   machine learning resources 
