UserName,Posts,RecommendedPosts
hlin117,"['R and Python, memory differences yielding performance differences', 'Scikit-learn: Getting SGDClassifier to predict as well as a Logistic Regression', 'Purpose of visualizing high dimensional data?']",['Bad input shape; XGB']
Gaurav Singhal,"['Random Forest, Type - Regression, Calculation of Importance Example', 'Assumptions/Limitations of Random Forest Models']","['Why Logistic regression into Spark Mllib does not use Maximum likelihood estimation?', 'Is there any technique, which can decide no. of bags for Bagged Logistic regression?']"
Blaze,['Looking for language and framework for data munging/wrangling'],['Cluster a categorical variable without breaking the existing categories']
hexagon,['Fit to a power law'],"['Can feature importance change a lot between models?', 'Is correlation needed when building a model?', 'How many datasets are required in a prediction problem?']"
Pranay Mathur,"['StackOverflow Tags Predictor...Suggest an Machine Learning Approach please?', 'Passing TFIDF Feature Vector to a SGDClassifier from sklearn', 'Categorizing Customer Emails']","['I got 100% accuracy on my test set,is there something wrong?']"
ultron,"['Practical use of oop in R', 'Replacing values in multiple columns of a data frame in R']",['Not able to interpret decision tree when using class_weights']
Peter Gerhat,"['Classifying multilabel images with TensorFlow', 'Adding multilabel classifier to TensorFlow example', 'Obtaining datasets of photos of people and car license plates', 'Breaking down a column in Pandas into a separate CSV for display in Tableau']","['Modelling on one Population and Evaluating on another Population', 'How do I forecast sales data down to the individual item?']"
Kyle.,"['Extract the ""path"" of a data point through a decision tree in sklearn', 'Slow convergence with rpart', 'ARIMAX with spark-timeseries', 'ARIMAX v. ARX Time Series Modeling', 'Neural Network Timeseries Modeling with Predictor Variables', 'ARIMA(X) Validation']","['Recommendation engine with mahout', 'Creating Data model for mahout recommendation engine', 'Evaluating Recommendation engines', 'Mahout Similarity algorithm comparison', 'N - fold cross validation in mahout', 'Item based and user based recommendation difference in Mahout', 'Python interface to Titan Database', 'Neo4j vs OrientDB vs Titan', 'Querying DBpedia from Python', 'Basic ML based Prediction model', 'Choosing best methods for estimating the unknown parameters in a linear regression model', 'NER on Twitter data', 'GATE with Python', 'Creating validation data for model comparison', 'Building Recommendation engine with Python', 'collaborative filtering using graph and machine learning', 'Make use of relationships on recommendation systems', 'Content based recommendation on Mahout', 'K Means giving poor results', 'Determinate K in K-Means Clustering', 'Creating Domain specific Question Answering Systems', 'Approaches for implementing Domain specific Question answering System', 'State of the art approaches for Information retrieval tasks based on deep learning', 'Stanford parser Python : Combine NER and POS tags', 'Deploying models on bigdata platforms like Hadoop and Spark', 'How to create a model that can have multiple labels associated to it?', 'Categorical data in Kmeans', 'Eigenvectors and eigenvalues for natural language processing', 'Neo4j graph to cypher conversion', 'Bias in Naive Bayes classifier', 'Handling data imbalance and class number for classification', 'Efficient way to search list of items in a text document', 'Checkpoints in Sklearn', 'Single Word Classifier']"
Anton,"['Canopy clustering implementation in Python', 'Given one language ngram model, how do I compare likelihoods of two texts of different length?', 'Books/reviews/papers on recommending groups of items?', 'Viterbi-like algorithm suggesting top-N probable state sequences implementation', 'Is there ""Attention Is All You Need"" implementation in Keras?']",['How to check and correct misspelling in the data of pairs of words?']
leeand00,['What Naive Bayes method is being used in this example?'],"['Dictionary based statistical NER learner', 'Applying bayesian methods to a simple neural network']"
felipeduque,['What is the difference between affinity matrix eigenvectors and graph Laplacian eigenvectors in the context of spectral clustering?'],['How to Improve Low Accuracy Keras Model Design?']
David Rose,"[""You are in charge of investing Chipotle's E-Coli source/s, what methods do you use?""]","['Evaluating value functions in RL', 'How to set hyperparameters in SVM classification', 'Hinge Loss understanding and proof']"
user260826,"['Analyzing customer response', 'Data categorization', 'Tag categorizer', 'Creating training data', 'Word analysis in Python', 'Understanding ConfusionMatrix for Google Prediction API', 'How to classify support call texts?', 'Newsgroup classification', 'Stackoverflow API Structure data storage', 'Similarity between two words', 'Music corpus sentence level clustering', 'Sentence similarity', 'Binary classification problem', 'Text processing', 'Price prediction based on historic data', 'Google Cloud NLP PERSON entities', 'LSTM text generation', 'ML project ideas for dataset', 'Text comparison using word embeddings', 'Multivariable real time system for fraud detection', 'Predicting with categorical data', 'Compare image similarity in Python', 'Data preparation for Regression Model', 'Grouping company information', 'Logistic Regression with Tensorflow', 'Census dataset alternatives']",['Multiple labels in supervised learning algorithm']
frei,"['Document parsing modeling and approach?', 'Classify samples based on other sample probabilities']",['Why do so many functions used in data science have derivatives of the form f(x)*(1-f(x))?']
Nomiluks,"['Can we take of benefit of using transfer learning while training a word2vec models?', 'How to initialize a new word2vec model with pre-trained model weights?', 'Is there any implementation of Recursive Auto Encoders in Tensorflow?']","['Recommendation engine with mahout', 'Creating Data model for mahout recommendation engine', 'Evaluating Recommendation engines', 'Mahout Similarity algorithm comparison', 'N - fold cross validation in mahout', 'Item based and user based recommendation difference in Mahout', 'Python interface to Titan Database', 'Neo4j vs OrientDB vs Titan', 'Querying DBpedia from Python', 'Basic ML based Prediction model', 'Choosing best methods for estimating the unknown parameters in a linear regression model', 'NER on Twitter data', 'GATE with Python', 'Creating validation data for model comparison', 'Building Recommendation engine with Python', 'collaborative filtering using graph and machine learning', 'Make use of relationships on recommendation systems', 'Content based recommendation on Mahout', 'K Means giving poor results', 'Determinate K in K-Means Clustering', 'Creating Domain specific Question Answering Systems', 'Approaches for implementing Domain specific Question answering System', 'State of the art approaches for Information retrieval tasks based on deep learning', 'Stanford parser Python : Combine NER and POS tags', 'Deploying models on bigdata platforms like Hadoop and Spark', 'How to create a model that can have multiple labels associated to it?', 'Categorical data in Kmeans', 'Eigenvectors and eigenvalues for natural language processing', 'Neo4j graph to cypher conversion', 'Bias in Naive Bayes classifier', 'Handling data imbalance and class number for classification', 'Efficient way to search list of items in a text document', 'Checkpoints in Sklearn', 'Single Word Classifier']"
Austin,['Core components of data literacy for working professionals'],['How to know for sure if we can learn from a given data or not?']
Mostafa Albana,['Preprocessing text before use RNN'],['Extract Domain related words']
Divi,"['Visualizing N-way frequency table as a Decision Tree in R', 'Binning of Continous Predictor and Predicted Variables']",['How to extract paragraphs from text document?']
Chandan Gautam,"['How to perform model selection for One-Class Classification?', ""Derivation of Ward's formula for agglomerative clustering"", 'How to handle non-stationary data in online neural network based one-class classifier for anomaly detection?', 'How to calculate inverse of square matrix for streaming or online data as all data are not available at once?', 'Why does my master node get heap memory full for inbuilt SVD API in Apache Spark during calculation of inverse of a square matrix?', 'Whether AUC can be calculated as average of sensitivity and specificity or not?', 'Whether solution of Kernel ridge regression through inverse calculation yields global optimal solution or not?', 'Does it matter whether we put regularization parameter ($C$) with error or weight term in Kernel ridge regression?']","['$\\chi^{2}$ kernel SVM performance issue', 'PCA on MNIST dataset results in very poor performance', 'Deep Learning for Recommender System', 'One-Hot Vector representation vs Label Encoding for Categorical Variables', 'Can we compare a word2vec vector with a doc2vec vector?', 'Optimizing co-occurrence matrix computation', 'Image Captioning in Keras', 'Problem in constructing co-occurence matrix', 'Mean vs Sum of cost in theano', 'Vectorizing equation in MATLAB', 'DIfferent learning rates converging to same minima', 'Reason for better performance of variants of SGD when local minimas of Neural Nets are equivalent?', ""Principle behind seq2seq model's example in keras?"", ""Getting uniform distribution over topics from gensim's LDA?"", 'Classifier on top of LDA topic vectors?', 'applying convolutional neural network over text documents using 1-D tf-idf feature vectors', 'Best tool for text pre-processing, involving tokenization, lemmatization, stop-word removal, feature vector extraction?', 'Micro Average vs Macro average Performance in a Multiclass classification setting', 'Gensim word2vec training error on tweets', 'Can SMOTE be applied over sequence of words (sentences)?', 'Best way to tokenize tweet', 'Multi-task learning for Multi-label classification?']"
Bhashithe,['Redundancy - is it a big problem?'],['Predict User Demographics from location based social networks']
Kahini Wadhawan,['How to handle Memory issues in training Word Embeddings on Large Datasets?'],['How to detect cardboard boxes using Neural Network']
H4kor,"['Using Neural Networks to extract multiple parameters from images', 'Neural Net for regression task on images only learning mean of training data']",['Deep RL: Proximal policy optimization gradient calculation']
roopalgarg,['Theano vs Tensorflow for building Neural Networks for NLP tasks'],"['Understanding decision tree concept', 'Need help in improving accuracy of text classification using Naive Bayes in nltk for movie reviews', 'Accuracy of word and sent tokenize versus custom tokenizers in nltk']"
Ganesh Krishnan,['Calculate cosine similarity in Apache Spark'],"['Time series prediction using ARIMA vs LSTM', 'Using RNN (LSTM) for predicting one future value of a time series']"
Buzz,['How exactly does a validation data-set work work in machine learning?'],['Deep RL: Proximal policy optimization gradient calculation']
Vivek Gupta,"['Why Logistic regression into Spark Mllib does not use Maximum likelihood estimation?', 'Is there any technique, which can decide no. of bags for Bagged Logistic regression?']","['Random Forest, Type - Regression, Calculation of Importance Example', 'Assumptions/Limitations of Random Forest Models']"
Sahar Milis,"[""Model for 'Pattern to Pattern'?"", 'How to verify hand written signature?']","['Running examples from scikit-learn tutorials', 'Face Recognition using eigenfaces and SVM', 'Reshaping of data for deep learning using Keras', 'Cross Validation in Keras', 'Merging large CSV files in Pandas', 'Replacing column values in Pandas', 'String Values in a dataframe in Pandas', 'Regression in Keras', 'Error in model.fit() method in Keras', 'Parameters in GridSearchCV in scikit-learn', 'Splitting Data in scikit-learn', 'Extracting the code from Keras', 'Encoding features in sklearn', 'Using scikit-learn FeatureHasher', 'Feature Engineering', 'Word vectors as input', 'Features of word vectors in word2vec', 'Check for skewness in data', 'Plotting different values in pandas histogram with different colors', 'Plotting two pandas dataframe columns against each other', 'Cross-entropy loss explanation']"
Eric O Lebigot,"[""Why does Keras' Model() have an inputs parameter?""]",['How to Create Shared Weights Layer in Keras']
Dimuth Tharaka Menikgama,['Learning Algorithm that decide which model gives better results for each testing instance'],['[Keras][LSTM] error due to shape mismatch']
Abhishek,"['How to Interpret the output of PCA?', 'Which Clustering algorithm to use for unique 4Dimension dataset before feeding to correlation?', 'How is PCA is different from SubSpace clustering and how do we extract variables responsible for the first PCA component?']","['A model that only works by setting all initial weights to zero', 'How to get the weights of a linear model by solving normal equation?']"
Archit Garg,['Binary Classification on small dataset < 200 samples'],['R Script to generate random dataset in 2d space']
Suraj Neupane,['Pattern Recognition on Financial Market'],['Strategies for continuously assessing and improving model performance']
AffableAmbler,"['Do modern R and/or Python libraries make SQL obsolete?', 'Advantages of Binary Rating System for Collaborative Filtering Recommender Systems']",['How to know for sure if we can learn from a given data or not?']
Rahul Aedula,"['Which type of regression has the best predictive power for extrapolating for smaller values?', 'Which is the best type of curve for these peaks on the waveform?', 'Which type of classification best suits this scatter plot?']",['How to optimize for time correlated hidden function - the magical candy machine']
Tobias,"['Methods for string classifications', 'Handling large imbalanced data set', 'Restrictions on my skewed validation data', 'Metrics show badly performing model for multiclass']",['Recognize polygons and get coordinates on transparent image']
Chryb,"['Similarity between an n-dimensional curve and selected subsets of them', 'Feature selection on n different values', 'Keras LSTM model for binary classification with sequences', 'Binary classification of every time series step based on past and future values', 'Batch processing with variable length sequences']","['Identity covariance matrix, decorrelated data?']"
BuildMyVocab,['How to determine the complexity of an English sentence?'],['Intuitive explanation of Lovasz Softmax loss for Image Segmentation problems']
Blazej Kowalski,"['AUC and classification report in Logistic regression in python', 'Imbalanced dataset in MLP classifier in python']",['Categorical Variables - Classification']
Wayne Thompson,['Advice on what Machine Learning Algorithms to study for a Job to candidate matching algorithm'],"['What are some good error metrics for multi-label (not mutli-class) problem in industry?', 'Xgboost (classification problem) feature importance per input not for the model', 'Model localization: one big model vs two small models']"
bacloud14,"['Should I eliminate all ID columns and similar columns from training data?', 'MinMaxScaler returned values greater than one', 'How to deal with missing data for only some categories', 'Target data values are not evenly distributed', 'How to fill missing numeric if any value in a subset is missing, all other columns with the same subset are missing', 'How to learn from time series with multiple values for each time points', 'Can RNN learn for each `t` in time from a whole new dataset (many entries)', 'Predicting on real test set gives only very high probability for 1 for a very unbalanced data', 'Any consideration for image classification when one class has generally one particular color', 'How to benefit Data augmentation when it yields to different classes', 'How to help neuronal network with an other model', 'Can I specify the order of yielded instances using keras ImageDataGenerator#flow_from_directory', 'Keras/TF: Making sure image training data shape is accurate for Time Distributed CNN+LSTM', 'The proper way to codify Na in a list in R', 'Any special considerations on learning based on a cyclic timeseries using LSTM?', 'Is it good in general to subtract background from a sequence of images for learning?', 'Add features from a timeserie target to train set', 'How can I enrich train data in case of cnn using target and time features', 'Remedies to CNN-LSTM overfitting on relatively small image dataset', ""Can we use ReLU activation function as the output layer's non-linearity?""]","['Why TF-IDF is working with Sentiment Analysis?', 'How can I augment my image data?', 'Load keras model in Java']"
drichlet,['What is the rationale for discretization of continuous features and when should it be done?'],"['Multivariate time Series classification - One class', 'Books on time series and sequence classification', 'Converting our model to other formats']"
SarahData,"['One hot encoding large dataset', 'cosine similarity between items (purchase data) and normalisation']",['How to build a machine translation system for a new language']
Ramesh,['MultiVariate Regression with LSTM'],['Stock prediction through LSTM']
saadtaame,['Gene innovation numbers in NEAT implementatoins'],['Predicting probability for each tag given already chosen tags']
Shreyans Jasoriya,"['What should be the ratio of True vs False cases in a binary classifier dataset?', ""Accuracy and loss don't change in CNN. Is it over-fitting?""]",['training neural network']
off99555,"['How to use Embedding() with 3D tensor in Keras?', 'How do I predict continuous value from time series data?', 'How do I build a permutation invariance neural network in keras?', 'How do I combine two electromagnetic readings to predict the position of a sensor?', 'How to use SLAM on other sensor other than camera?', 'How to predict similarity of unseen data to the training set?', 'How to make machine learning model that reports ambiguity of the input?']","['why is mse training drastically different from the begining of each training with Encoder-Decoder', 'Encoder-Decoder performance time']"
Shiny,['Pandas: Calculating the best seller to incorporate number of houses sold'],['How to know for sure if we can learn from a given data or not?']
Md. Rezwanul Haque,['Deep Learning Model apply for prediction real values'],"['Identity covariance matrix, decorrelated data?']"
Shengjie,"['Do Clustering algorithms need feature scaling in the pre-processing stage?', 'How to model to predict hotel booking abnomality?', 'How does outlier detection work if there are multiple distribution clusters?', 'How to increase the weight when it comes to outlier detection', 'how to combine count and rate features in clustering', 't-SNE plotting DBSCAN clustering results very scattered issue']","['How does a Decision Tree handle an unknown category in a split?', 'Regression Decision Tree - Normalize or Split into Ranges a continuos feature', 'Metric to combine average with number of accurance']"
Ziofil,"['How to transition between offline and online learning?', 'Can TF turn a given graph into a recursive one?', 'which neural network topology to learn correlations between time series?']",['Does fine-tuning of transferred layers perform better than frozen transferred layers?']
Learning is a mess,"['One hot encoding of target space', 'How to train data by batch from disk?', 'How to fix class imbalance in training sample?', 'Homemade deep learning library: numerical issue with relu activation', 'Significant overfitting with CV', 'One hot encoding at character level with Keras', 'Replacing mean by median over batch-size to lessen the impact of outliers']","['How to fix these vanishing gradients?', 'How to design batches in a stateful RNN', 'Using TF Dataset API to process sequences for stateful RNN', 'How do I implement masking in TensorFlow eager execution?', 'How to correctly use depthwise convolutional layers']"
valcanaia,['Using dates from predicting loan'],['How to restore deleted objects in R?']
bragboy,['Extracting paragraph from a document based on Numerals'],"['Usage of Precision Recall on an unbalanced dataset', 'gbm function not working']"
vinaykva,"['how can I train the model to predict duplicate records in machine learning?', 'One hot encoding alternatives for large categorical values?']","['Running examples from scikit-learn tutorials', 'Face Recognition using eigenfaces and SVM', 'Reshaping of data for deep learning using Keras', 'Cross Validation in Keras', 'Merging large CSV files in Pandas', 'Replacing column values in Pandas', 'String Values in a dataframe in Pandas', 'Regression in Keras', 'Error in model.fit() method in Keras', 'Parameters in GridSearchCV in scikit-learn', 'Splitting Data in scikit-learn', 'Extracting the code from Keras', 'Encoding features in sklearn', 'Using scikit-learn FeatureHasher', 'Feature Engineering', 'Word vectors as input', 'Features of word vectors in word2vec', 'Check for skewness in data', 'Plotting different values in pandas histogram with different colors', 'Plotting two pandas dataframe columns against each other', 'Cross-entropy loss explanation']"
Imed,"[""Why I didn't get any significant variable in my logistic model?"", 'Warning message in randomForest', 'How get an optimal Neural Network algorithm using neuralnet package in R?']","['How to reshape data for LSTM training in multivariate sequence prediction', 'LSTM sequence prediction: 3d input to 2d output', 'One-hot encode multi-class multi-label sequences', 'Keras functional API multi-input size error']"
Jacob Quisenberry,"['Term for Methods of Representing Repeated Text in Classifier', 'Timestamps in Ridge Regression Scikit Learn']","['Understanding Logistic Regression Cost function', 'How to estimate probabilities of different classes for a Text', 'How to use different classes of words in CountVectorizer()', 'Getting unexpected result while using CountVectorizer()', 'Need help with entity tagging']"
Parseltongue,['ML algorithm where variable importance depends upon other variables - specifying conditionality'],['Calculation of distance between samples in data mining']
Aniekan Umoren,"['ReLU activation function outputs HUGE numbers', 'Vanishing Gradient in a shallow network']","['Cost/loss functions for multi-tasking regression neural networks', 'DBSCAN - Space complexity of O(n)?']"
orgesleka,['Do you know a dataset for regression where deep learning outperforms svm and random forests?'],"['Purpose of weights in neural networks', 'How to use correct weights in linear regression model', 'Finding optimal weights for models', 'How does ""linear algebraic"" weight training function work?', 'Properly using activation functions of neural network', 'How does binary cross entropy work?', 'Differentiating roadmap of a loss function', 'Why are optimization algorithms slower at critical points?', 'Purpose of backpropagation in neural networks', 'Efficient Similarity Indexing and Searching in High Dimensions', 'How to dual encode two sentences to show similarity score', 'Spatially encoding textual data', 'What is exactly meant by neural network that can take different types of input?', 'How to make a region of interest proposal from convolutional feature maps?', 'How to train two neural networks together', 'How to project a bounding box on feature map?']"
antounes,['Is there a proper way of comparing weight coefficients of two logits?'],['Correlations - Get values in the way we want']
Jed,"['Error when checking : expected dense_1_input to have shape (None, 5) but got array with shape (200, 1)', ""AttributeError: 'numpy.ndarray' object has no attribute 'predict'""]","['where does kmeans store its trained model parameters in scikit learn?', 'How to build confusion matrix , when predicted value and actual value is in sentence?']"
IS2057,"['How can I fit categorical data types for random forest classification?', 'Filter row depending on specific object value and delete those instances', 'SVM is not fitted when tried to fit it into a model', 'Faced problem while applying OneHotEncoder', 'How can I plot data after cluster it into two cluster?', 'How to apply ensemble clustering method?', 'Looping problem in python', 'How to collect data which exists centre or border of the cluster?', 'How to extract all information by using id', 'How to find data that is the maximum distance from cluster center or stayed border of the cluster', 'Problem to classify multilabel dataset while using random forest algorithm', 'Problem faced when collect data randomly from cluster', 'Accuracy differs between MATLAB and scikit-learn for a decision tree']",['What should be the value of batch_size in fit() method when using sgd (Stochastic Gradient Descent) as the optimizer?']
Lorenzo Najt,"['Is there a standard data science epistemology?', 'Privacy through moving averages?']",['How to choose negative examples for recommendation system?']
Ankit Seth,"['Ordinal Integer variable vs Continuous Integer variable', 'Difference between indicator column and categorical identity column in tensorflow', 'Keras exception: ValueError: Error when checking input: expected conv2d_1_input to have shape (150, 150, 3) but got array with shape (256, 256, 3)', 'eta and learning_rate different in xgboost']",['Dealing with population instability']
dashnick,['Neural Network with Connections to all forward layers'],"['In Machine Learning, what is the point of using stratified sampling in selecting test set data?']"
George,['How to handle the target variable being in the features'],['How to select features from text data?']
Paul,"['TypeError: Expected binary or unicode string, got [']","['How to separate overlapping curves more effectively?', 'How to encode positional information of a string in a NN effectively', 'Feature extraction from a scatter plot', 'More layers in NN give worse result', 'Extracting useful features for k-means clustering', 'Oscillating loss in CNN', 'How to find impactful words affecting classification?', 'Why is this TensorFlow CNN not generalising?', 'Design a branching CNN', 'How to tinker with CNN architectures?', 'How to predict weather?', ""How is the standard deviation of VAE's obtained?"", 'Dropout in theory VS Practical Implementation', 'Dropout in a CNN vs Dropout in a FCNN']"
Universalis0,"['sklearn.neighbors.NearestNeighbors - knn for unsupervised learning?', 'Sklearn: unsupervised knn vs k-means']","['Human activity recognition using smartphone data set problem', 'How to classify and cluster this time series data']"
DankMasterDan,"['How to fix these vanishing gradients?', 'How to design batches in a stateful RNN', 'Using TF Dataset API to process sequences for stateful RNN', 'How do I implement masking in TensorFlow eager execution?', 'How to correctly use depthwise convolutional layers']","['One hot encoding of target space', 'How to train data by batch from disk?', 'How to fix class imbalance in training sample?', 'Homemade deep learning library: numerical issue with relu activation', 'Significant overfitting with CV', 'One hot encoding at character level with Keras', 'Replacing mean by median over batch-size to lessen the impact of outliers']"
Suhail Gupta,"['Deciding Initial Weights In A Linear Classifier For Sentiment Analysis', 'Transforming words in sentences into vector form to prepare a model', 'What approach other than Tf-Idf could I use for text-clustering using K-Means?', 'How to decide the shape of input features, when each data file is of different length?', 'When does decision tree perform better than the neural network?', 'Why neural networks do not perform well on structured data?', 'Is max_depth in scikit the equivalent of pruning in decision trees?', 'Coefficient of determination is close to 1 but the value of RMSE is large. What does it mean?', 'Why the VC dimension to this linear hypothesis equal to 3?', 'How to interpret the mean for output clusters for expected-maximization?', 'Having difficult interpreting the eigenvectors for a simple 3x2 matrix']","['Efficient dynamic clustering', 'Complete link clustering']"
APRocha,['tensorflow tf.scatter_update over a matrix'],['Bias and variance in the model o in the predictions?']
Intelligent-Infrastructure,"['deepAR RNN from AWS Sagemaker - should I clean the data first?', 'Get deepAR fit() metrics to python', 'Confidence of this particual prediction', 'Heuristics, methods to speed up searches over subsets of big set (combinatorially NP hard probably)']",['How to add a new category to a deep learning model?']
Ant Kutschera,['Is this a Q-learning algorithm or just brute force?'],"['Are there any interesting application of linear regression', 'Can all statistical algorithms be parallelized using a Map Reduce framework', 'Can Hadoop be beneficial when data is in database tables and not in a file system', 'Why do we need to use sysfunc when we call a SAS function inside a SAS macro', 'Can I use cosine similarity as a distance metric in a KNN algorithm', 'Use cases for graph algorithms and graph data structures in finance and banking', 'What do you pass for the cv parameter in the sklearn method cross_val_score', 'How does k fold cross validation work?', 'How does KNN handle categorical features', 'Is PCA considered a machine learning algorithm', 'How exactly does matrix factorization help with collaborative filtering', ""Predict next month's loan balance from historical data"", 'What is the intuition behind using Monte Carlo to solve a differential equation']"
John L.,['What information is encoded in embedding vector lengths?'],"['Why does all of NLP literature use Noise contrastive estimation loss for negative sampling instead of sampled softmax loss?', 'Having trouble figuring out how loss was calculated for SQuAD task in BERT paper', 'What data formats/pipelining are best to store and wrangle data which contains both text and float vectors?', 'What would be the best data store for fast write/read of billions of float32s? SQLite? Hdf5? Other?', 'Are there any other recommended optimizers for word2vec/glove than Adagrad and SparseAdam?']"
Bjorn95,['SVM with polynomial kernel: strange results with high degree?'],"['remove seasonality from weekly time series data', 'Clustering for mixed numeric and nominal discrete data', 'Ranking algorithm based on a handful of features']"
Minisha,"['Data normalisation and recommendation based on skillset', 'To extract the skills required for the job given the job description', 'NLP: To remove verb and find the match in a sentence']","['Does high error rate in regression imply the data set is unpredictable?', 'How to determine whether a bad performance is caused by data quality?', 'In a SVD with user/video bias, why is the UV contribute so small?']"
Mayur Kulkarni,['Intuitive explanation of Lovasz Softmax loss for Image Segmentation problems'],['How to determine the complexity of an English sentence?']
karthiks,"['How do I get a count of values based on custom bucket-ranges I create for a select column in dataframe?', ""Why should re-sampling change the value of model's coefficients?"", 'Can we remove features that have zero-correlation with the target/label?', 'For text classification that has innumerable features, how do I choose the number of neurons and layers for MLPClassifier?']",['What is the correct format of the test input for LSTM neural network?']
metdos,['How to optimize for time correlated hidden function - the magical candy machine'],"['Which type of regression has the best predictive power for extrapolating for smaller values?', 'Which is the best type of curve for these peaks on the waveform?', 'Which type of classification best suits this scatter plot?']"
mavavilj,"['Need lesser memory consumption than doing sklearn.decomposition.TruncatedSVD on 99999 variables', 'How to decide what threshold to use for removing low-variance features?', 'Doing feature selection based on non-diagonalized covariance matrix vs on eigenvalues?', 'Can one build linear models on ""chunks"" of the data set, if one can\'t build them on the entire data set?', ""Why don't all feature selection methods in sklearn allow specifying desired variance explained?"", 'Is it the job of the modelling approach to consider or not consider independence/dependence of features? Or should it be known before-hand?', 'How to evaluate the ""betterness"" of competitive good models?', 'How do different models take in account independence/dependence of features?', 'How to read factor vs. factor plots?', ""What's immediate superset?"", 'Any idea to what $\\bar{X}$ refers to in association rules? Is it ""not-$X$""?', 'Are there some resources for filters specifically applicable in big data applications?', 'What does the ""randomly shuffle training samples"" in stochastic gradient descent attain?']",['sort occurrence matrix to minimize its spatial variance']
Fabian Schultz,['Predicting change of shapes/coordinates'],['input transformation for polynomial regression']
FranLD,['Where can I find a dataset for long sequence text chunking?'],['How to restore deleted objects in R?']
Mitiku,"[""Model's loss weights"", 'Which convolution should I use? Conv2d or Conv1d', 'Which implementation of word2vec in keras is correct']","['Manual feature engineering based on the output', 'Supervised multiclass classification : is ANN a good idea ? or use other classifiers?', 'How to approach a machine learning problem?', 'How to correctly apply the same data transformation , used on the training dataset , on real data in a webservice?', 'What are the crucial steps for creating a recommender system using multiclass classification?', 'Can I create a good Speech Recognition Engine while having millions of recorded conversations?', 'What to use in setting up a Speech to Text engine in production?', 'Training an acoustic model for a speech-to-text engine', 'Categorical vs continuous feature selection/engineering', 'How to deal with new features values in my classification model?', 'Error-analysis and evaluation of a model using Python?', 'Neural network or other algorithms?', 'Predict_proba on a binary classification problem', 'Interpretability of RMSE and R squared scores on cross validation', ""unimportant features impact on model's performance"", 'Probability calibration is worsening my model performance', 'Target mean encoding worse than ordinal encoding with GBDT ( XGBoost, CatBoost )']"
