Similar_Users,User1_id,User1_post,user1_Tags,user2_id,User2_post,user2_Tags
"(156, 51447)",156,[52012],neural-network hyperparameter explainable-ai,51447,none,none
"(157, 16342)",157,[52],r data-cleaning,16342,none,none
"(158, -1)",158,"[59, 61, 69, 75, 76, 77, 361]",apache-hadoop r machine-learning predictive-modeling processing statistics bigdata bigdata tools data-stream-mining databases nosql neo4j efficiency algorithms parameter,-1,none,none
"(173, 35485)",173,"[116, 176]",machine-learning dimensionality-reduction python social-network-analysis time-series javascript visualization,35485,none,none
"(177, 78049)",177,[47636],visualization outlier distribution,78049,none,none
"(192, -1)",192,[812],visualization graphs,-1,none,none
"(200, 6679)",200,"[107, 184]",tools data-stream-mining tools,6679,none,none
"(201, 16841)",201,"[6018, 6290, 6736, 6972, 8395, 9505, 9702, 10522, 16649, 23262, 23264, 23268, 25222, 42444, 43826, 50899, 50912, 55933, 58198]",machine-learning predictive-modeling python neural-network predictive-modeling usecase text-mining algorithms research predictive-modeling predictive-modeling regression feature-selection feature-engineering azure-ml python predictive-modeling regression random-forest scikit-learn visualization graphs social-network-analysis visualization simulation monte-carlo predictive-modeling dataset python pandas performance predictive-modeling feature-scaling time-series python keras optimization apache-spark normalization feature-scaling scala class-imbalance probability-calibration cost-matrix rebalancing python bigdata causalimpact counter-inference,16841,none,none
"(204, 46490)",204,none,none,46490,[27994],machine-learning classification bigdata
"(226, 32608)",226,[6786],machine-learning data search,32608,none,none
"(227, 24918)",227,"[134, 155, 223]",scalability apache-hadoop map-reduce mongodb open-source dataset nlp metadata data-cleaning text-mining,24918,none,none
"(229, 49999)",229,[143],nosql efficiency indexing data-indexing-techniques .net,49999,none,none
"(237, 35551)",237,"[564, 5408, 30310]",visualization javascript clustering k-means machine-learning deep-learning research,35551,none,none
"(249, 40762)",249,[175],metadata parsing,40762,none,none
"(250, 21970)",250,"[172, 205, 215]",performance python pandas parallel parallel clusters aws machine-learning python pandas scikit-learn,21970,none,none
"(260, 63336)",260,none,none,63336,[41829],machine-learning neural-network
"(263, 20358)",263,none,none,20358,[12109],dataset deep-learning word-embeddings torch
"(265, 69315)",265,none,none,69315,[47098],probability model-selection geospatial
"(269, 17783)",269,none,none,17783,[13677],machine-learning dataset
"(273, 56910)",273,"[191, 218, 2446]",neural-network python pandas python,56910,none,none
"(275, 54089)",275,[196],machine-learning classification,54089,none,none
"(282, 46351)",282,none,none,46351,"[38329, 38636, 45794]",python deep-learning pytorch machine-learning python deep-learning computer-vision pytorch xgboost cross-validation
"(289, 302)",289,"[536, 6561]",data-cleaning tools beginner processing,302,none,none
"(295, 62962)",295,"[211, 1174]",bigdata machine-learning databases clustering data-mining data-mining classification dataset clustering time-series,62962,none,none
"(303, 31752)",303,"[3770, 3771, 3772, 57447, 57857, 57968, 58002]",time-series time-series feature-selection predictive-modeling optimization time-series feature-selection xgboost explainable-ai data-cleaning neural-network data preprocessing xgboost,31752,none,none
"(312, 17794)",312,none,none,17794,"[11950, 12272]",time-series apache-spark multiclass-classification scala time-series feature-extraction multiclass-classification
"(313, 38584)",313,none,none,38584,[22678],feature-extraction feature-engineering distance scalability
"(322, 27859)",322,[412],data-cleaning anonymization,27859,none,none
"(338, 7867)",338,none,none,7867,"[4901, 5040, 5380]",feature-selection regression machine-learning recommender-system
"(339, 9113)",339,"[227, 228, 8402]",bigdata efficiency apache-hadoop distributed bigdata apache-hadoop apache-spark,9113,none,none
"(359, 54796)",359,none,none,54796,[57644],machine-learning neural-network deep-learning
"(376, 30786)",376,none,none,30786,[23872],r clustering k-means categorical-data
"(378, 64206)",378,"[5751, 5789, 20258]",statistics nlp text-mining time-series data-mining social-network-analysis crawling scraping clustering algorithms data-cleaning data,64206,none,none
"(389, 15412)",389,none,none,15412,"[9793, 9813, 11704, 11747, 13059, 13069, 13089, 13350, 13376, 13410, 13580, 13706, 13726, 13762, 13782, 13897, 13923, 14690, 15043, 18687, 20296]",machine-learning python scikit-learn machine-learning python svm scikit-learn python neural-network deep-learning keras python deep-learning cross-validation keras python data pandas python pandas machine-learning python data-cleaning pandas keras machine-learning python deep-learning regression keras machine-learning python deep-learning scikit-learn keras machine-learning python scikit-learn random-forest machine-learning python dataset scikit-learn machine-learning deep-learning tensorflow keras machine-learning scikit-learn feature-engineering encoding machine-learning scikit-learn feature-extraction feature-engineering dataset pandas feature-extraction categorical-data feature-engineering deep-learning keras word-embeddings word2vec machine-learning deep-learning word-embeddings word2vec sentiment-analysis machine-learning python visualization data-cleaning python dataset visualization pandas distribution python visualization pandas machine-learning deep-learning
"(403, 41005)",403,[454],machine-learning feature-selection unbalanced-classes,41005,none,none
"(407, 6518)",407,none,none,6518,[18218],machine-learning scikit-learn svm hyperparameter
"(413, 20614)",413,[19957],machine-learning cross-validation model-selection scoring,20614,none,none
"(434, 15203)",434,"[265, 266, 334, 356, 371]",machine-learning sports machine-learning education efficiency scalability sql nlp,15203,none,none
"(451, 13672)",451,none,none,13672,"[25655, 31862, 34357]",apache-spark apache-hadoop pandas sql
"(454, 345)",454,[530],machine-learning,345,none,none
"(456, 25500)",456,[253],bigdata apache-hadoop,25500,[17776],pytorch
"(457, 2653)",457,none,none,2653,[806],machine-learning accuracy
"(458, 1151)",458,none,none,1151,"[893, 6984, 8032, 8064, 9268, 10336, 28712, 38459, 38519, 40946]",r statistics correlation machine-learning classification recommender-system unbalanced-classes loss-function machine-learning r predictive-modeling decision-trees machine-learning classification python predictive-modeling scikit-learn machine-learning terminology definitions finite-precision machine-learning optimization gradient-descent gbm loss-function machine-learning neural-network deep-learning activation-function linear-algebra deep-learning keras tensorflow lstm word-embeddings deep-learning keras tensorflow lstm dropout machine-learning deep-learning text-mining multiclass-classification natural-language-process
"(465, 74972)",465,none,none,74972,[52765],classification scoring
"(472, 30690)",472,none,none,30690,[18550],machine-learning neural-network statistics
"(497, 27)",497,[52258],nlp text-mining similarity information-retrieval,27,none,none
"(504, 45916)",504,none,none,45916,"[27576, 38213, 38793, 40590, 49198, 49431]",python scikit-learn machine-learning python scikit-learn nlp python classification scikit-learn machine-learning python recommender-system matrix-factorisation python scikit-learn distance scipy python word2vec gensim
"(529, 74001)",529,none,none,74001,[51976],feature-selection random-forest
"(530, 8752)",530,none,none,8752,"[12355, 13904, 24554]",machine-learning svm scikit-learn predictive-modeling forecast lstm
"(554, 39974)",554,[52783],neural-network,39974,[23491],nlp
"(560, 37090)",560,[289],education,37090,none,none
"(562, 240)",562,"[5777, 52007]",random-forest scikit-learn apache-hadoop map-reduce,240,none,none
"(598, 54941)",598,none,none,54941,[34324],predictive-modeling time-series outlier
"(642, 56964)",642,none,none,56964,[37928],machine-learning classification supervised-learning
"(651, 76772)",651,none,none,76772,[54629],machine-learning python keras training plotting
"(676, 42024)",676,[1074],machine-learning classification svm,42024,none,none
"(684, 38243)",684,"[492, 504, 640, 641]",machine-learning python neural-network nlp classification nlp classification dataset nlp,38243,none,none
"(686, 9966)",686,none,none,9966,[6004],data-mining text-mining feature-selection feature-extraction
"(688, 9966)",688,none,none,9966,[6004],data-mining text-mining feature-selection feature-extraction
"(690, 14871)",690,[8048],r algorithms,14871,none,none
"(700, 5316)",700,none,none,5316,[2670],machine-learning neural-network visualization deep-learning
"(725, -1)",725,[977],machine-learning clustering,-1,none,none
"(728, -1)",728,"[554, 704, 749]",statistics dataset bigdata data-mining machine-learning data-mining recommender-system,-1,none,none
"(776, 77558)",776,"[887, 20504]",data-cleaning evaluation time-series forecast,77558,none,none
"(783, 14145)",783,none,none,14145,[47242],r
"(790, 71314)",790,none,none,71314,[49104],r databases excel
"(791, 27)",791,[354],statistics,27,none,none
"(816, 33466)",816,none,none,33466,[22477],machine-learning tensorflow multiclass-classification
"(836, 75202)",836,"[608, 711, 6395, 8009, 17860, 18279]",neural-network data-mining svm state-of-the-art neural-network gradient-descent neural-network gradient-descent reinforcement-learning markov-process backpropagation theory linear-algebra,75202,[52974],python
"(837, 32972)",837,[9701],python predictive-modeling time-series,32972,none,none
"(843, -1)",843,"[6440, 6460, 6506, 6612, 6635, 6683, 6778, 6798, 8457, 8625, 9249, 9325, 11077, 11332, 11636, 11979, 14368, 14403, 17362, 17382, 18695, 19129, 24939, 27690]",deep-learning multitask-learning deep-learning multiclass-classification caffe nlp word-embeddings nlp dimensionality-reduction word-embeddings nlp word-embeddings software-recommendation feature-selection random-forest scikit-learn performance multiclass-classification software-recommendation multilabel-classification nlp reference-request python linear-regression library software-recommendation python regression library software-recommendation neural-network deep-learning theano tensorflow keras python software-recommendation multilabel-classification nlp word-embeddings word2vec deep-learning performance theano neural-network deep-learning gpu neural-network deep-learning distributed torch performance library gpu performance theano rnn gpu nlp nlp neural-network deep-learning tensorflow reinforcement-learning training nlp ibm-watson speech-to-text performance gpu,-1,none,none
"(847, 32725)",847,"[2451, 2504, 2537, 3721, 3733, 5867]",classification regression predictive-modeling unbalanced-classes machine-learning classification deep-learning random-forest accuracy gbm ensemble-modeling machine-learning feature-selection optimization optimization r gbm multiclass-classification,32725,none,none
"(851, 10088)",851,none,none,10088,[56129],scikit-learn learning-to-rank
"(870, 69105)",870,[671],machine-learning statistics time-series,69105,none,none
"(872, 14695)",872,[398],python visualization,14695,none,none
"(895, 76254)",895,"[758, 1015]",python tools version-control tools,76254,none,none
"(909, 10992)",909,none,none,10992,[15055],data-mining text-mining data-cleaning
"(914, 13301)",914,none,none,13301,[33037],machine-learning deep-learning computer-vision generative-models
"(920, 37986)",920,none,none,37986,"[22324, 22365, 23130, 23354, 23638, 23858, 24081, 25148, 25195, 25403, 25429, 25524, 25650, 25739, 25989, 25994]",machine-learning data-mining unsupervised-learning topic-model dirichlet machine-learning classification data-mining clustering machine-learning data-mining clustering text-mining machine-learning python clustering machine-learning data-mining text-mining word-embeddings gensim machine-learning data-mining text-mining social-network-analysis graphs data-mining nlp text-mining data-mining nlp text-mining data-mining nlp text-mining learning-to-rank nlp text-mining nlp word2vec gensim machine-learning deep-learning rnn lstm nlp text-mining word2vec word-embeddings python visualization word2vec word-embeddings tsne word2vec graphs word-embeddings social-network-analysis
"(921, 46537)",921,[791],machine-learning dataset,46537,none,none
"(922, 52509)",922,[473],algorithms logistic-regression,52509,[31969],machine-learning python preprocessing
"(924, 23430)",924,none,none,23430,[48883],machine-learning k-means
"(929, 70118)",929,none,none,70118,[52066],machine-learning decision-trees
"(941, 32845)",941,[596],dataset graphs,32845,none,none
"(960, 25365)",960,"[455, 518]",machine-learning classification dataset clustering text-mining machine-learning clustering,25365,none,none
"(974, 30064)",974,"[677, 840, 3705]",python pandas scikit-learn pandas similarity scikit-learn,30064,none,none
"(982, 52846)",982,"[5735, 6205, 9459, 9651]",visualization nlp python computer-vision object-recognition python pandas,52846,[32301],clustering dbscan
"(986, 25988)",986,"[461, 477]",bigdata text-mining recommender-system algorithms,25988,none,none
"(1003, 43744)",1003,none,none,43744,[25988],machine-learning deep-learning keras loss-function cnn
"(1005, 2515)",1005,none,none,2515,[23538],machine-learning deep-learning convnet image-classification unbalanced-classes
"(1024, 9774)",1024,none,none,9774,"[10674, 10676, 11057]",feature-selection correlation feature-engineering feature-selection correlation feature-engineering machine-learning clustering ensemble-modeling
"(1048, 3063)",1048,"[1243, 3741]",recommender-system search information-retrieval regression gradient-descent,3063,none,none
"(1077, 8828)",1077,[23761],python r clustering visualization javascript,8828,none,none
"(1078, 25891)",1078,none,none,25891,"[14941, 14959]",neural-network deep-learning gpu machine-learning
"(1093, 47597)",1093,"[9397, 9539, 10011, 56608, 57194]",python categorical-data scikit-learn feature-engineering python categorical-data scikit-learn statistics cross-validation evaluation machine-learning python optimization convergence survival-analysis python visualization correlation matplotlib heatmap,47597,none,none
"(1098, 45033)",1098,none,none,45033,"[27520, 27728]",classification deep-learning data-cleaning machine-learning neural-network classification deep-learning
"(1131, 69625)",1131,"[540, 834, 2642]",knowledge-base dataset python r recommender-system machine-learning algorithms,69625,none,none
"(1133, 958)",1133,"[6011, 6037, 6595, 10557]",machine-learning classification regression scoring machine-learning r r classification feature-selection categorical-data feature-selection parameter-estimation,958,none,none
"(1138, 16208)",1138,"[548, 1147, 1244, 2323, 2558, 9959, 10216, 11743]",machine-learning feature-selection time-series machine-learning gradient-descent machine-learning predictive-modeling kaggle machine-learning recommender-system machine-learning predictive-modeling feature-extraction machine-learning neural-network machine-learning text-mining word-embeddings word2vec machine-learning neural-network backpropagation,16208,none,none
"(1142, 71511)",1142,none,none,71511,[49298],machine-learning classification dataset matlab
"(1144, 74778)",1144,none,none,74778,[55069],tensorflow cnn classifier
"(1147, 7912)",1147,[559],machine-learning,7912,none,none
"(1151, 458)",1151,"[893, 6984, 8032, 8064, 9268, 10336, 28712, 38459, 38519, 40946]",r statistics correlation machine-learning classification recommender-system unbalanced-classes loss-function machine-learning r predictive-modeling decision-trees machine-learning classification python predictive-modeling scikit-learn machine-learning terminology definitions finite-precision machine-learning optimization gradient-descent gbm loss-function machine-learning neural-network deep-learning activation-function linear-algebra deep-learning keras tensorflow lstm word-embeddings deep-learning keras tensorflow lstm dropout machine-learning deep-learning text-mining multiclass-classification natural-language-process,458,none,none
"(1186, 17484)",1186,none,none,17484,"[11395, 12532, 12585, 13390, 15671, 19083, 22572, 26899, 27893, 30691, 38642, 43767, 56300]",feature-selection feature-engineering feature-construction deep-learning keras text-mining word-embeddings deep-learning education bayesian deep-learning visualization convnet sampling geospatial machine-learning word linear-regression deep-learning reinforcement-learning cnn neural-network reinforcement-learning cnn classification metric deep-learning cnn image-classification loss-function ranking
"(1203, 62910)",1203,none,none,62910,[43728],machine-learning supervised-learning accuracy
"(1208, 10356)",1208,[600],algorithms,10356,none,none
"(1214, 177)",1214,none,none,177,[47636],visualization outlier distribution
"(1241, 18327)",1241,"[992, 1024]",data-mining classification binary statistics glm regression,18327,none,none
"(1264, 9966)",1264,[10165],random-forest feature-extraction categorical-data decision-trees,9966,[6004],data-mining text-mining feature-selection feature-extraction
"(1272, 27875)",1272,[9852],machine-learning bayesian-networks,27875,none,none
"(1273, 30892)",1273,"[636, 685]",machine-learning bigdata data-mining dataset data-cleaning machine-learning data-mining r logistic-regression gradient-descent,30892,none,none
"(1281, 49359)",1281,"[948, 1053]",tools tools visualization scala csv,49359,none,none
"(1288, 19051)",1288,none,none,19051,[11934],data-mining statistics pca
"(1301, 49919)",1301,[9420],svm logistic-regression hinge-loss,49919,none,none
"(1330, 68152)",1330,"[21693, 34267, 47267]",machine-learning classification vc-theory deep-learning keras cnn scikit-learn hyperparameter hyperparameter-tuning grid-search randomized-algorithms,68152,none,none
"(1334, 3271)",1334,[670],data-mining,3271,none,none
"(1339, 17783)",1339,none,none,17783,[13677],machine-learning dataset
"(1386, 26832)",1386,"[700, 5528]",machine-learning algorithms clustering k-means hierarchical-data-format machine-learning clustering algorithms hierarchical-data-format,26832,none,none
"(1406, 35411)",1406,"[6547, 11417, 14528]",machine-learning python data-mining anomaly-detection library machine-learning time-series anomaly-detection machine-learning data-mining predictive-modeling time-series anomaly-detection,35411,none,none
"(1423, 7867)",1423,none,none,7867,"[4901, 5040, 5380]",feature-selection regression machine-learning recommender-system
"(1426, 52676)",1426,"[9378, 9907, 10753, 10809, 13393, 16348, 17033, 17205, 17968, 27436, 32256, 34185, 38157, 43749, 56797]",machine-learning neural-network gradient-descent backpropagation neural-network neural-network graphs reference-request python classification neural-network scikit-learn image-classification classification image-classification sampling object-recognition python language-model sentiment-analysis encoding convnet convnet feature-extraction neural-network image-classification deep-learning labels cnn faster-rcnn convnet loss-function convnet convnet gan lstm,52676,none,none
"(2433, 37427)",2433,[949],bigdata apache-hadoop apache-pig,37427,none,none
"(2435, 17978)",2435,none,none,17978,"[15886, 26881]",dimensionality-reduction pca machine-learning deep-learning image-classification preprocessing computer-vision
"(2452, 44417)",2452,[5108],machine-learning classification topic-model,44417,none,none
"(2458, 58441)",2458,[726],neural-network,58441,none,none
"(2460, 14763)",2460,none,none,14763,[9392],machine-learning dataset data-cleaning feature-extraction
"(2473, 39934)",2473,none,none,39934,[48100],nlp word-embeddings bert
"(2488, 10285)",2488,none,none,10285,[47435],neural-network cnn pytorch
"(2491, 21257)",2491,none,none,21257,"[24194, 25696, 45220]",machine-learning classification data-mining nlp text-mining machine-learning nlp classification data-mining text-mining machine-learning clustering similarity pca dimensionality-reduction
"(2507, 17606)",2507,[744],classification,17606,none,none
"(2514, 70991)",2514,none,none,70991,[48727],machine-learning deep-learning ai
"(2515, 1005)",2515,[23538],machine-learning deep-learning convnet image-classification unbalanced-classes,1005,none,none
"(2523, 10088)",2523,none,none,10088,[56129],scikit-learn learning-to-rank
"(2529, 52804)",2529,none,none,52804,[32263],machine-learning finance
"(2563, 8368)",2563,none,none,8368,[5199],python
"(2567, 17725)",2567,[786],data-mining dataset,17725,none,none
"(2576, 6456)",2576,"[1246, 2436, 6355]",python gradient-descent regression dataset categorical-data regression linear-regression,6456,none,none
"(2586, 52299)",2586,[5485],machine-learning data-mining statistics python correlation,52299,none,none
"(2601, 237)",2601,none,none,237,"[564, 5408, 30310]",visualization javascript clustering k-means machine-learning deep-learning research
"(2604, 31256)",2604,[783],r visualization,31256,none,none
"(2609, 69546)",2609,none,none,69546,[47297],python bayesian scipy probabilistic-programming
"(2624, 19242)",2624,none,none,19242,[12038],machine-learning python scikit-learn matlab
"(2628, 52109)",2628,none,none,52109,[39100],machine-learning feature-engineering encoding
"(2643, 21011)",2643,"[793, 859, 6200, 6486]",bigdata nosql mongodb apache-hadoop map-reduce machine-learning dataset data-mining r data-cleaning,21011,none,none
"(2647, 31043)",2647,"[2480, 2608, 2627, 10849, 12108, 12619, 13828, 15707, 16786, 22250, 22931, 45464]",visualization javascript data-cleaning javascript visualization machine-learning predictive-modeling statistics r dataset sas regression ensemble-modeling classification variance nlp text-mining text-filter nlp scikit-learn text-mining tfidf data training text classifier python scikit-learn nlp topic-model lda,31043,[37738],machine-learning neural-network deep-learning data learning
"(2653, 457)",2653,[806],machine-learning accuracy,457,none,none
"(2661, -1)",2661,[810],machine-learning dataset unbalanced-classes,-1,none,none
"(2664, 66863)",2664,none,none,66863,"[48166, 48208, 48269]",machine-learning classification decision-trees training variance machine-learning decision-trees information-theory machine-learning random-forest decision-trees
"(2673, 44417)",2673,[6186],machine-learning online-learning,44417,none,none
"(2693, 32164)",2693,none,none,32164,[18956],python pandas categorical-data
"(2698, 57722)",2698,none,none,57722,[37000],python statistics machine-learning-model numpy
"(2716, 50603)",2716,none,none,50603,"[30370, 30779, 33937, 35743, 37092]",machine-learning data-mining predictive-modeling machine-learning data-mining predictive-modeling clustering k-means classification nlp text-mining random-forest nlp text-mining
"(2721, 19242)",2721,none,none,19242,[12038],machine-learning python scikit-learn matlab
"(2723, 12771)",2723,"[2618, 2623, 5357, 8694, 9216, 10307, 10745, 10758, 11758, 11921, 12106, 12242, 13331, 13760, 15015, 19432, 27701]",text-mining scraping r logistic-regression regression machine-learning bigdata statistics programming c bigdata random-forest tableau machine-learning random-forest ensemble-modeling machine-learning r machine-learning ensemble-modeling r classification r convnet software-recommendation java scala azure-ml powerbi machine-learning random-forest text-mining algorithms visualization machine-learning xgboost computer-vision google,12771,"[15119, 15208]",machine-learning r data-mining programming r dataset data-cleaning categorical-data
"(2727, 43803)",2727,none,none,43803,[26033],nltk named-entity-recognition
"(2756, 59738)",2756,[895],graphs,59738,none,none
"(2762, 43645)",2762,none,none,43645,[25902],keras loss-function
"(2781, 21580)",2781,[866],machine-learning r,21580,none,none
"(2785, 9577)",2785,"[867, 1102]",nlp text-mining nlp language-model,9577,none,none
"(2795, 69546)",2795,none,none,69546,[47297],python bayesian scipy probabilistic-programming
"(2830, 41366)",2830,[903],dataset statistics ab-test,41366,[24310],nlp dataset training
"(2833, 41274)",2833,none,none,41274,[24253],data-mining training
"(2853, 78396)",2853,none,none,78396,[56398],machine-learning python
"(2854, 458)",2854,"[927, 937]",pandas cross-validation scikit-learn feature-selection scikit-learn,458,none,none
"(2861, 28892)",2861,"[1002, 10494, 10521, 10790, 10864, 15347, 15940]",machine-learning data-mining tools beginner clustering predictive-modeling algorithms ranking labels data parameter-estimation clustering text-mining,28892,none,none
"(2862, 64865)",2862,[20554],visualization tableau,64865,none,none
"(2883, 15896)",2883,[946],r ab-test,15896,none,none
"(2885, 47473)",2885,none,none,47473,"[28818, 29051, 29139]",random-forest feature-engineering naive-bayes-classifier ranking machine-learning predictive-modeling feature-selection classification predictive-modeling dataset time-series regression
"(2887, 18507)",2887,none,none,18507,[39183],data-cleaning
"(2897, 47082)",2897,none,none,47082,[28481],deep-learning loss-function accuracy
"(2901, 2723)",2901,none,none,2723,"[2618, 2623, 5357, 8694, 9216, 10307, 10745, 10758, 11758, 11921, 12106, 12242, 13331, 13760, 15015, 19432, 27701]",text-mining scraping r logistic-regression regression machine-learning bigdata statistics programming c bigdata random-forest tableau machine-learning random-forest ensemble-modeling machine-learning r machine-learning ensemble-modeling r classification r convnet software-recommendation java scala azure-ml powerbi machine-learning random-forest text-mining algorithms visualization machine-learning xgboost computer-vision google
"(2914, 75202)",2914,none,none,75202,[52974],python
"(2920, 62980)",2920,"[963, 1079]",machine-learning classification parsing dataset text-mining similarity information-retrieval,62980,none,none
"(2928, 10924)",2928,[968],data-mining r feature-selection,10924,none,none
"(2932, 62725)",2932,[26409],apache-spark apache-hadoop scala,62725,[42529],machine-learning apache-spark pyspark pipelines
"(2948, 13425)",2948,[972],bigdata data-mining dataset graphs similarity,13425,none,none
"(2958, 10338)",2958,[979],clustering text-mining algorithms scikit-learn,10338,none,none
"(2961, 17794)",2961,none,none,17794,"[11950, 12272]",time-series apache-spark multiclass-classification scala time-series feature-extraction multiclass-classification
"(2986, 24919)",2986,none,none,24919,[32142],machine-learning unsupervised-learning representation
"(3001, 15604)",3001,none,none,15604,[9885],r visualization ggplot2
"(3017, 8422)",3017,none,none,8422,[5231],machine-learning r cross-validation
"(3022, 18612)",3022,none,none,18612,[11893],python time-series anomaly-detection sequential-pattern-mining
"(3038, 10992)",3038,none,none,10992,[15055],data-mining text-mining data-cleaning
"(3047, 41408)",3047,[1021],nlp similarity information-retrieval,41408,none,none
"(3054, 79537)",3054,"[1028, 1124, 1149]",machine-learning random-forest classification text-mining random-forest text-mining random-forest,79537,none,none
"(3058, 25788)",3058,[1042],social-network-analysis,25788,none,none
"(3070, 60575)",3070,[46602],machine-learning active-learning,60575,none,none
"(3071, 20358)",3071,none,none,20358,[12109],dataset deep-learning word-embeddings torch
"(3085, 75295)",3085,[42718],svm,75295,none,none
"(3088, 4676)",3088,none,none,4676,[5893],data-mining nlp information-retrieval language-model
"(3116, 3085)",3116,none,none,3085,[42718],svm
"(3159, 60321)",3159,"[2273, 2293, 2395]",clustering regression correlation data-mining bigdata algorithms outlier neural-network time-series regression,60321,none,none
"(3167, 4787)",3167,"[1159, 9738, 10015]",bigdata data-mining dimensionality-reduction tensorflow machine-learning tensorflow,4787,none,none
"(3179, 21011)",3179,[17676],data-mining,21011,none,none
"(3226, 33983)",3226,[33956],clustering probability distance,33983,none,none
"(3230, 39697)",3230,[12127],machine-learning predictive-modeling apache-spark,39697,none,none
